"guideline","category","title","publication_date","extension","url","title_clean","publication_date_clean","extension_clean","filename","folder","full_path","downloaded","download_status","error"
"CG141","Acute upper GI bleeding: guideline development and consultation","Acute upper GI bleeding: comments proforma","13 December 2011","docx","https://www.nice.org.uk/guidance/cg141/documents/acute-upper-gi-bleeding-comments-proforma2","Acute_upper_GI_bleeding_comments_proforma","13_December_2011","docx","Acute_upper_GI_bleeding_comments_proforma_13_December_2011.docx","D:/NICE_history/CG141","D:/NICE_history/CG141/Acute_upper_GI_bleeding_comments_proforma_13_December_2011.docx",TRUE,"downloaded",
"CG141","Acute upper GI bleeding: guideline development and consultation","Acute upper GI bleeding: full guideline","13 December 2011","pdf","https://www.nice.org.uk/guidance/cg141/documents/acute-upper-gi-bleeding-full-guideline2","Acute_upper_GI_bleeding_full_guideline","13_December_2011","pdf","Acute_upper_GI_bleeding_full_guideline_13_December_2011.pdf","D:/NICE_history/CG141","D:/NICE_history/CG141/Acute_upper_GI_bleeding_full_guideline_13_December_2011.pdf",TRUE,"downloaded",
"CG141","Acute upper GI bleeding: guideline development and consultation","Acute upper GI bleeding: consultation comments table","13 June 2012","pdf","https://www.nice.org.uk/guidance/cg141/documents/acute-upper-gi-bleeding-consultation-comments-table2","Acute_upper_GI_bleeding_consultation_comments_table","13_June_2012","pdf","Acute_upper_GI_bleeding_consultation_comments_table_13_June_2012.pdf","D:/NICE_history/CG141","D:/NICE_history/CG141/Acute_upper_GI_bleeding_consultation_comments_table_13_June_2012.pdf",TRUE,"downloaded",
"CG141","Acute upper GI bleeding: guideline development and consultation","Acute upper GI bleeding: list of stakeholders","16 May 2011","pdf","https://www.nice.org.uk/guidance/cg141/documents/acute-upper-gi-bleeding-list-of-stakeholders2","Acute_upper_GI_bleeding_list_of_stakeholders","16_May_2011","pdf","Acute_upper_GI_bleeding_list_of_stakeholders_16_May_2011.pdf","D:/NICE_history/CG141","D:/NICE_history/CG141/Acute_upper_GI_bleeding_list_of_stakeholders_16_May_2011.pdf",TRUE,"downloaded",
"CG141","Acute upper GI bleeding: guideline development and consultation","GDG minutes: 29 October 2010","23 December 2010","pdf","https://www.nice.org.uk/guidance/cg141/documents/gdg-minutes-29-october-20102","GDG_minutes_29_October_2010","23_December_2010","pdf","GDG_minutes_29_October_2010_23_December_2010.pdf","D:/NICE_history/CG141","D:/NICE_history/CG141/GDG_minutes_29_October_2010_23_December_2010.pdf",TRUE,"downloaded",
"CG141","Acute upper GI bleeding: guideline development and consultation","GDG minutes: 16 July 2010","24 August 2010","pdf","https://www.nice.org.uk/guidance/cg141/documents/gdg-minutes-16-july-20102","GDG_minutes_16_July_2010","24_August_2010","pdf","GDG_minutes_16_July_2010_24_August_2010.pdf","D:/NICE_history/CG141","D:/NICE_history/CG141/GDG_minutes_16_July_2010_24_August_2010.pdf",TRUE,"downloaded",
"CG141","Acute upper GI bleeding: guideline development and consultation","Acute upper GI bleeding: equality impact assessment","28 June 2012","pdf","https://www.nice.org.uk/guidance/cg141/documents/acute-upper-gi-bleeding-equality-impact-assessment2","Acute_upper_GI_bleeding_equality_impact_assessment","28_June_2012","pdf","Acute_upper_GI_bleeding_equality_impact_assessment_28_June_2012.pdf","D:/NICE_history/CG141","D:/NICE_history/CG141/Acute_upper_GI_bleeding_equality_impact_assessment_28_June_2012.pdf",TRUE,"downloaded",
"CG141","Acute upper GI bleeding: guideline development and consultation","GDG minutes: 30 July 2010","29 September 2010","pdf","https://www.nice.org.uk/guidance/cg141/documents/gdg-minutes-30-july-20102","GDG_minutes_30_July_2010","29_September_2010","pdf","GDG_minutes_30_July_2010_29_September_2010.pdf","D:/NICE_history/CG141","D:/NICE_history/CG141/GDG_minutes_30_July_2010_29_September_2010.pdf",TRUE,"downloaded",
"CG141","Acute upper GI bleeding: remit","Acute upper GI bleeding: remit","19 May 2009","pdf","https://www.nice.org.uk/guidance/cg141/documents/acute-upper-gi-bleeding-remit2","Acute_upper_GI_bleeding_remit","19_May_2009","pdf","Acute_upper_GI_bleeding_remit_19_May_2009.pdf","D:/NICE_history/CG141","D:/NICE_history/CG141/Acute_upper_GI_bleeding_remit_19_May_2009.pdf",TRUE,"downloaded",
"CG141","Acute upper GI bleeding: scoping workshop, consultation and final scope","Acute upper GI bleeding: Scoping EIA form","01 October 2013","pdf","https://www.nice.org.uk/guidance/cg141/documents/acute-upper-gi-bleeding-scoping-eia-form2","Acute_upper_GI_bleeding_Scoping_EIA_form","01_October_2013","pdf","Acute_upper_GI_bleeding_Scoping_EIA_form_01_October_2013.pdf","D:/NICE_history/CG141","D:/NICE_history/CG141/Acute_upper_GI_bleeding_Scoping_EIA_form_01_October_2013.pdf",TRUE,"downloaded",
